Text	Name	Category	Difficulty	Notes
Sad Boy - Custard Cookie: This dessert vape features rich {{c1::cookie}} dough with creamy {{c2::custard}} undertones for a bakery-fresh experience.	Sad Boy - Custard Cookie	Dessert	Beginner	Rich cookie dough with custard
Big Bottle Co - Electric Lemonade: An electrifying blend combining tangy {{c1::blue raspberry}} with refreshing {{c2::lemonade}} for a vibrant summer taste.	Big Bottle Co - Electric Lemonade	Citrus	Intermediate	Blue raspberry and lemonade blend
Sad Boy - Pumpkin Cookie: Fall-inspired comfort with warm {{c1::pumpkin}} spice and fresh {{c2::cookie dough}} creating the perfect autumn treat.	Sad Boy - Pumpkin Cookie	Dessert	Beginner	Pumpkin spice and cookie dough
Sad Boy - Pink: A carnival fantasy mixing sweet {{c1::strawberry}} with fluffy {{c2::cotton candy}} for pure nostalgic bliss.	Sad Boy - Pink	Carnival	Intermediate	Strawberry and cotton candy
Twist - Crimson No. 1: Classic crimson blend featuring juicy {{c1::strawberry}} perfectly balanced with tart {{c2::lemonade}} refreshment.	Twist - Crimson No. 1	Berry	Intermediate	Strawberry and lemonade
Twist - Berry Amber: S'mores-inspired delight with crunchy {{c1::graham crackers}}, sweet {{c2::strawberry jam}}, and golden {{c3::honey}} drizzle.	Twist - Berry Amber	Dessert	Advanced	Graham crackers, strawberry jam, honey
Phoenix - Peaches: Simple summer pleasure combining ripe {{c1::peaches}} with rich {{c2::cream}} for a smooth, fruity indulgence.	Phoenix - Peaches	Fruit	Beginner	Peaches and cream
Twist - Crimson Crush No. 1: Intense crimson experience blending sweet {{c1::strawberry}} with zesty {{c2::lemonade}} for maximum flavor impact.	Twist - Crimson Crush No. 1	Berry	Intermediate	Strawberry and lemonade intense blend
Aqua - Mist: Tropical trio featuring crisp {{c1::apple}}, juicy {{c2::peach}}, and tangy {{c3::kiwi}} in perfect harmony.	Aqua - Mist	Tropical	Advanced	Apple, peach, kiwi trio
Naked 100 - Strawberry Pom: Antioxidant-rich blend combining sweet {{c1::strawberry}}, exotic {{c2::kiwi}}, and tart {{c3::pomegranate}} superfruit.	Naked 100 - Strawberry Pom	Berry	Advanced	Strawberry, kiwi, pomegranate
Naked 100 - Euro Gold: Premium tobacco experience showcasing authentic {{c1::Caribbean tobacco}} leaves for connoisseurs.	Naked 100 - Euro Gold	Tobacco	Beginner	Caribbean tobacco leaves
Bad Drip - Cereal Trip: Breakfast cereal adventure with colorful {{c1::fruity cereal}}, cold {{c2::milk}}, and a {{c3::frosted donut}} twist.	Bad Drip - Cereal Trip	Breakfast	Advanced	Fruity cereal, milk, frosted donut
Naked 100 - American Patriot: All-American classic featuring smooth {{c1::tobacco}} blend for traditional vaping enthusiasts.	Naked 100 - American Patriot	Tobacco	Beginner	Smooth tobacco blend
Naked 100 - Really Berry: Berry medley combining dark {{c1::blackberry}}, sweet {{c2::blueberry}}, and bright {{c3::lemon}} citrus notes.	Naked 100 - Really Berry	Berry	Advanced	Blackberry, blueberry, lemon
Twist - Red No. 1: Refreshing red blend mixing juicy {{c1::watermelon}} with tangy {{c2::lemonade}} for summer perfection.	Twist - Red No. 1	Fruit	Intermediate	Watermelon and lemonade
One Hit - The Man: Creamy dessert featuring fresh {{c1::strawberries}} with fluffy {{c2::whipped cream}} and smooth {{c3::milk}} base.	One Hit - The Man	Dessert	Advanced	Strawberries, whipped cream, milk
One Hit - Mini Muffin Man: Bakery delight with warm {{c1::strawberry muffin}} enhanced by aromatic {{c2::cinnamon}} spice notes.	One Hit - Mini Muffin Man	Bakery	Intermediate	Strawberry muffin with cinnamon
Aqua - Swell: Candy shop experience combining sweet {{c1::watermelon}} with nostalgic {{c2::candy}} flavoring.	Aqua - Swell	Fruit	Intermediate	Watermelon and candy
One Hit - My Man: Ice cream parlor treat blending {{c1::strawberry}} with {{c2::vanilla}} and rich {{c3::chocolate ice cream}}.	One Hit - My Man	Dessert	Advanced	Strawberry, vanilla, chocolate ice cream
Glas BSX - Juicy Apple: Orchard-fresh experience combining crisp {{c1::red apple}} with tart {{c2::green apple}} varieties.	Glas BSX - Juicy Apple	Fruit	Intermediate	Red and green apple blend
Twist - Mint 0: Cool mint experience featuring refreshing {{c1::mint}} with icy {{c2::menthol}} and subtle {{c3::sweetness}}.	Twist - Mint 0	Mint	Advanced	Mint with menthol cooling
Twist - Pink Punch 0°: Chilled pink perfection mixing sweet {{c1::strawberry}} with tangy {{c2::lemonade}} on ice.	Twist - Pink Punch 0°	Berry	Intermediate	Strawberry and lemonade chilled
Twist - Blend No. 1: Classic party punch featuring a medley of mixed {{c1::fruit punch}} flavors.	Twist - Blend No. 1	Fruit	Beginner	Mixed fruit punch
Twist - Chilled Remix: Tropical cooling blend with sweet {{c1::honeydew melon}} enhanced by refreshing {{c2::menthol}} chill.	Twist - Chilled Remix	Tropical	Intermediate	Honeydew melon with menthol
Twist - Iced Pucker Punch: Frozen fruit medley combining {{c1::strawberries}}, {{c2::blueberries}}, tropical {{c3::pineapple}}, and icy {{c4::menthol}}.	Twist - Iced Pucker Punch	Berry	Advanced	Strawberries, blueberries, pineapple, menthol
Twist - Space No. 1: Cosmic candy adventure mixing {{c1::strawberry}}, tangy {{c2::kiwi}}, and fizzy {{c3::popping candy}} sensations.	Twist - Space No. 1	Carnival	Advanced	Strawberry, kiwi, popping candy
Twist - Cocktail Blend: Premium cocktail blend featuring {{c1::strawberries}}, tart {{c2::raspberries}}, exotic {{c3::kiwi}}, and juicy {{c4::watermelon}}.	Twist - Cocktail Blend	Berry	Advanced	Strawberries, raspberries, kiwi, watermelon
Gorilla Warfare - 50 BMG: Military-grade tropical blend combining sweet {{c1::pineapple}} with exotic {{c2::dragon fruit}} intensity.	Gorilla Warfare - 50 BMG	Tropical	Intermediate	Pineapple and dragon fruit
Twist - Pink Punch No. 1: Pink lemonade perfection with tart {{c1::lemonade}} sweetened by {{c2::strawberry syrup}} essence.	Twist - Pink Punch No. 1	Citrus	Intermediate	Lemonade and strawberry syrup
Gorilla Warfare - 308: Triple fruit harmony featuring sweet {{c1::honeydew}}, juicy {{c2::strawberry}}, and crisp {{c3::pear}} notes.	Gorilla Warfare - 308	Fruit	Advanced	Honeydew, strawberry, pear
Gorilla Warfare - 270 Reloaded: Tactical dessert combining sweet {{c1::strawberry}} with buttery {{c2::pastry}} for battlefield comfort.	Gorilla Warfare - 270 Reloaded	Dessert	Intermediate	Strawberry and buttery pastry
Big Bottle Co - Summer Drink: Summer beverage blend mixing dark {{c1::blackberry}}, sweet {{c2::peach}}, and refreshing {{c3::lemonade}}.	Big Bottle Co - Summer Drink	Berry	Advanced	Blackberry, peach, lemonade
Sad Boy - Butter Cookie: European bakery treat featuring rich {{c1::butter cookie}} with bright {{c2::lemon zest}} finish.	Sad Boy - Butter Cookie	Bakery	Intermediate	Butter cookie with lemon zest
Sad Boy - Coconut Cake: Tropical cake experience with fluffy {{c1::coconut cake}} and {{c2::toasted coconut}} flakes.	Sad Boy - Coconut Cake	Dessert	Intermediate	Coconut cake with toasted coconut
Bad Drip - Bad Apple: Orchard blend combining sweet {{c1::red apple}} with tart {{c2::green apple}} varieties.	Bad Drip - Bad Apple	Fruit	Intermediate	Red and green apple
Bad Drip - God Nectar: Divine nectar featuring {{c1::passion fruit}}, bright {{c2::orange}}, tropical {{c3::mango}}, and exotic {{c4::guava}}.	Bad Drip - God Nectar	Tropical	Advanced	Passion fruit, orange, mango, guava
Sad Boy - Key Lime Cookie: Pie perfection with tangy {{c1::key lime}} filling, sweet {{c2::cookie crumbles}}, and crunchy {{c3::graham crackers}}.	Sad Boy - Key Lime Cookie	Dessert	Advanced	Key lime, cookie, graham crackers
Sad Boy - Punch Berry: Berry citrus punch combining mixed {{c1::berries}}, bright {{c2::lemons}}, and tart {{c3::raspberries}}.	Sad Boy - Punch Berry	Berry	Advanced	Mixed berries, lemon, raspberries
Sad Boy - Strawberry Blood: Pure berry essence showcasing ripe {{c1::strawberries}} in their most concentrated form.	Sad Boy - Strawberry Blood	Berry	Beginner	Pure strawberry concentrate
Sad Boy - Blueberry Jam: Breakfast jam featuring sweet {{c1::blueberry jam}} spread on fresh {{c2::sugar cookies}}.	Sad Boy - Blueberry Jam	Breakfast	Intermediate	Blueberry jam and sugar cookies
Sad Boy - Funnel Cake: Fair food fantasy with creamy {{c1::cheesecake}} topped with fresh {{c2::strawberries}}.	Sad Boy - Funnel Cake	Dessert	Intermediate	Cheesecake and strawberries
Sad Boy - Rainbow Blood: Mystical fruit blend combining exotic {{c1::tropical fruit}} with mixed {{c2::berry}} medley.	Sad Boy - Rainbow Blood	Fruit	Intermediate	Tropical fruit and mixed berries
Sad Boy - Unicorn Tears: Magical treat featuring buttery {{c1::cookie}} base with bright {{c2::citrus}} enchantment.	Sad Boy - Unicorn Tears	Carnival	Intermediate	Buttery cookie with citrus
Sad Boy - Strawberry Jam: Classic combination of soft {{c1::sugar cookie}} generously topped with sweet {{c2::strawberry jam}}.	Sad Boy - Strawberry Jam	Bakery	Intermediate	Sugar cookie and strawberry jam
Pachamama - Black Ice Menthol: Arctic berry blend featuring dark {{c1::blackberry}}, sweet {{c2::blueberry}}, with icy {{c3::menthol}} finish.	Pachamama - Black Ice Menthol	Berry	Advanced	Blackberry, blueberry, menthol
Pachamama - Sorbet: Frozen dessert combining tart {{c1::raspberry}} with bright {{c2::lemon}} sorbet refreshment.	Pachamama - Sorbet	Dessert	Intermediate	Raspberry and lemon sorbet
Pachamama - Fuji: Japanese orchard blend mixing crisp {{c1::Fuji apple}} with sweet {{c2::strawberries}} and juicy {{c3::nectarines}}.	Pachamama - Fuji	Fruit	Advanced	Fuji apple, strawberries, nectarines
Vaporgate - Violette: Floral berry experience combining sweet {{c1::blueberry}} with exotic {{c2::pomegranate}} essence.	Vaporgate - Violette	Berry	Intermediate	Blueberry and pomegranate
Vaporgate - Hyperdrive: Tropical acceleration featuring sweet {{c1::pineapple}}, juicy {{c2::peach}}, and smooth {{c3::cream}} velocity.	Vaporgate - Hyperdrive	Tropical	Advanced	Pineapple, peach, cream
Gorilla Warfare - 270: Tactical sweetness combining buttery {{c1::pastry}} with fresh {{c2::strawberry}} ammunition.	Gorilla Warfare - 270	Dessert	Intermediate	Buttery pastry and strawberry
Vapetasia - Rainbow Road: Childhood cereal adventure with colorful {{c1::fruity cereal}} swimming in cold {{c2::milk}}.	Vapetasia - Rainbow Road	Breakfast	Intermediate	Fruity cereal and milk
Vapetasia - Royalty 2: Royal blend featuring rich {{c1::custard}}, smooth {{c2::vanilla}}, and premium {{c3::tobacco}} sophistication.	Vapetasia - Royalty 2	Dessert	Advanced	Custard, vanilla, tobacco
Vapetasia - Killer Kustard Original: The original featuring silky {{c1::vanilla custard}} in its purest, most decadent form.	Vapetasia - Killer Kustard Original	Dessert	Beginner	Pure vanilla custard
Vapetasia - Killer Kustard Blueberry: Berry enhancement with creamy {{c1::vanilla custard}} swirled with fresh {{c2::blueberries}}.	Vapetasia - Killer Kustard Blueberry	Dessert	Intermediate	Vanilla custard and blueberries
Vapetasia - Killer Kustard Strawberry: Strawberry perfection combining smooth {{c1::vanilla custard}} with ripe {{c2::strawberries}}.	Vapetasia - Killer Kustard Strawberry	Dessert	Intermediate	Vanilla custard and strawberries
Aqua - Flow: Refreshing stream mixing bright {{c1::citrus}} with sweet {{c2::berries}} for natural flow.	Aqua - Flow	Berry	Intermediate	Citrus and berries
Aqua - Oasis: Desert oasis featuring juicy {{c1::peach}}, tropical {{c2::papaya}}, and sweet {{c3::cantaloupe}} escape.	Aqua - Oasis	Tropical	Advanced	Peach, papaya, cantaloupe
Aqua - Drops: Pure candy essence delivering concentrated {{c1::candy}} sweetness and nostalgia with tangy citrus.	Aqua - Drops	Fruit	Beginner	Pure candy and citrus
Twist - Yellow Peach: Golden summer blend mixing ripe {{c1::peaches}} with refreshing sweetness.	Twist - Yellow Peach	Fruit	Beginner	Ripe peaches
Glas BSX - Banana Cream Pie: Diner classic featuring ripe {{c1::banana}} with buttery {{c2::pie crust}} and rich {{c3::vanilla custard}}.	Glas BSX - Banana Cream Pie	Dessert	Advanced	Banana, pie crust, vanilla custard
Twist - Sweet & Sour: Sweet and sour sensation showcasing juicy {{c1::watermelon}} with tangy twist.	Twist - Sweet & Sour	Fruit	Beginner	Watermelon and tangy twist
One Hit - Muffin Man: Bakery morning featuring crisp {{c1::apple}} baked into warm {{c2::cinnamon muffin}} perfection.	One Hit - Muffin Man	Bakery	Intermediate	Apple and cinnamon muffin
Twist - Wild Red: Wild red refreshment combining sweet {{c1::watermelon}} with refreshing {{c2::lemonade}} sunshine.	Twist - Wild Red	Fruit	Intermediate	Watermelon and lemonade
Twist - Banana Amber: Breakfast cookie featuring hearty {{c1::oatmeal cookie}} with sweet {{c2::banana}} enhancement.	Twist - Banana Amber	Breakfast	Intermediate	Oatmeal cookie and banana
Twist - Dragonthol: Exotic cooling experience with tropical {{c1::dragonfruit}} enhanced by refreshing {{c2::menthol}}.	Twist - Dragonthol	Tropical	Intermediate	Dragon fruit and menthol
Twist - White Grape: Sophisticated grape blend featuring sweet {{c1::white grape}}, bright {{c2::citrus}}, and {{c3::candied apple}}.	Twist - White Grape	Fruit	Advanced	White grape, citrus, candied apple
One Hit - Fire Man: Summery refreshment featuring tangy {{c1::pink lemonade}} for pure sunshine vibes.	One Hit - Fire Man	Citrus	Beginner	Pink lemonade
One Hit - Army Man: Military dessert with tangy {{c1::key lime pie}} enhanced by {{c2::citrus}} and rich {{c3::custard}}.	One Hit - Army Man	Dessert	Advanced	Key lime pie, citrus, custard
Innevape - Heisenberg: Crystal blue experience combining sweet {{c1::blue raspberry}} with cooling {{c2::menthol}} intensity.	Innevape - Heisenberg	Berry	Intermediate	Blue raspberry and menthol
Naked 100 - Berry: Triple berry blend featuring dark {{c1::blackberry}}, sweet {{c2::blueberry}}, and bright {{c3::lemon}}.	Naked 100 - Berry	Berry	Advanced	Blackberry, blueberry, lemon
Vapetasia - Milk of the Poppy: Exotic cream blend with smooth {{c1::cream}}, fresh {{c2::strawberries}}, and tropical {{c3::dragon fruit}}.	Vapetasia - Milk of the Poppy	Dessert	Advanced	Cream, strawberries, dragon fruit
Twist - Green No. 1: Green melon medley combining sweet {{c1::honeydew melon}} with refreshing {{c2::cantaloupe}}.	Twist - Green No. 1	Fruit	Intermediate	Honeydew and cantaloupe
Vapetasia - Pineapple Express: Tropical custard featuring sweet {{c1::pineapple}} swirled with rich {{c2::custard}} smoothness.	Vapetasia - Pineapple Express	Tropical	Intermediate	Pineapple and custard
Aqua - Rush: Adrenaline rush mixing mixed {{c1::fruit}} flavors with intense {{c2::menthol}} acceleration.	Aqua - Rush	Fruit	Intermediate	Mixed fruit and menthol
One Hit - Island Man: Island paradise combining {{c1::strawberries}}, {{c2::watermelon}}, bright {{c3::orange}}, and exotic {{c4::kiwi}}.	One Hit - Island Man	Tropical	Advanced	Strawberries, watermelon, orange, kiwi
Glas BSX - Fizzy Lemonade: Sparkling citrus featuring bubbly {{c1::lemonade}} with zesty {{c2::lemon-lime}} carbonation.	Glas BSX - Fizzy Lemonade	Citrus	Intermediate	Lemonade and lemon-lime
Glas BSX - Blueberry Cake: Birthday celebration with fluffy {{c1::vanilla cake}}, sweet {{c2::butter cream}}, and fresh {{c3::blueberries}}.	Glas BSX - Blueberry Cake	Dessert	Advanced	Vanilla cake, butter cream, blueberries
Glas BSX - Butterscotch Reserve: Premium reserve featuring smooth {{c1::tobacco}} with rich {{c2::butterscotch}} and sweet {{c3::caramel}}.	Glas BSX - Butterscotch Reserve	Tobacco	Advanced	Tobacco, butterscotch, caramel
Glas BSX - Cool Melon: Cooling melon blend with sweet {{c1::cantaloupe}}, crisp {{c2::cucumber}}, and refreshing {{c3::menthol}}.	Glas BSX - Cool Melon	Fruit	Advanced	Cantaloupe, cucumber, menthol
Twist - Purple Grape: Purple perfection combining mixed {{c1::berry}} medley with sweet {{c2::grape}} essence.	Twist - Purple Grape	Fruit	Intermediate	Mixed berries and grape
Naked 100 - Melon: Tropical trio featuring sweet {{c1::honeydew}}, tropical {{c2::pineapple}}, and refreshing {{c3::cantaloupe}}.	Naked 100 - Melon	Tropical	Advanced	Honeydew, pineapple, cantaloupe
Bad Drip - Bad Blood: Dark berry blend combining sweet {{c1::blueberry}}, tart {{c2::pomegranate}}, and smooth {{c3::vanilla}}.	Bad Drip - Bad Blood	Berry	Advanced	Blueberry, pomegranate, vanilla
Bad Drip - Don't Care Bear: Gummy paradise featuring chewy {{c1::gummy bear}} with juicy {{c2::pear}} and sweet {{c3::peach}}.	Bad Drip - Don't Care Bear	Carnival	Advanced	Gummy bear, pear, peach
Bad Drip - Farley's Gnarly Sauce: Gnarly combo mixing fresh {{c1::strawberries}}, tangy {{c2::kiwi}}, with nostalgic {{c3::bubble gum}}.	Bad Drip - Farley's Gnarly Sauce	Berry	Advanced	Strawberries, kiwi, bubble gum
Bad Drip - Ugly Butter: Ugly delicious blend with creamy {{c1::banana pudding}}, warm {{c2::cinnamon}}, and sweet {{c3::sugar pastry}}.	Bad Drip - Ugly Butter	Dessert	Advanced	Banana pudding, cinnamon, sugar pastry
Sad Boy - Mango Blood: Pure tropical essence featuring sweet {{c1::mango}} in its most concentrated form.	Sad Boy - Mango Blood	Tropical	Beginner	Pure mango concentrate
Innevape - Carousel: Carnival ride featuring fluffy {{c1::cotton candy}} with mixed {{c2::fruit}} excitement.	Innevape - Carousel	Carnival	Intermediate	Cotton candy and mixed fruit
Innevape - Whatamelon: Apple menthol experience combining crisp {{c1::apple}} with intense {{c2::menthol}} cooling.	Innevape - Whatamelon	Mint	Intermediate	Apple and menthol
Twist - Rainbow No. 1: Rainbow candy adventure mixing colorful {{c1::fruit}} with chewy {{c2::sour taffy}} fun.	Twist - Rainbow No. 1	Carnival	Intermediate	Fruit and sour taffy
Sad Boy - Shamrock Cookie: Irish-inspired treat with buttery {{c1::cookie}} and refreshing {{c2::mint milkshake}} coolness.	Sad Boy - Shamrock Cookie	Bakery	Intermediate	Cookie and mint milkshake
Naked 100 - Hawaiian Pog: Hawaiian paradise featuring exotic {{c1::passion fruit}}, bright {{c2::orange}}, and tropical {{c3::guava}}.	Naked 100 - Hawaiian Pog	Tropical	Advanced	Passion fruit, orange, guava
Gorilla Warfare - 5.56: Desert tactical blend combining sweet {{c1::blue agave}} with prickly {{c2::cactus}} essence.	Gorilla Warfare - 5.56	Fruit	Intermediate	Blue agave and cactus
Gorilla Warfare - 0.45: Triple threat featuring tangy {{c1::blue raspberry}}, juicy {{c2::peach}}, and refreshing {{c3::sweet tea}}.	Gorilla Warfare - 0.45	Berry	Advanced	Blue raspberry, peach, sweet tea
Sad Boy - Nola Line Strawberry: Healthy breakfast with crunchy {{c1::granola}}, fresh {{c2::strawberry}}, and rich {{c3::sweet cream}}.	Sad Boy - Nola Line Strawberry	Breakfast	Advanced	Granola, strawberry, sweet cream
Sad Boy - Strawberry Cheesecake: Classic dessert featuring rich {{c1::cheesecake}} topped with fresh {{c2::strawberries}}.	Sad Boy - Strawberry Cheesecake	Dessert	Intermediate	Cheesecake and strawberries
Gorilla Warfare - 0.50 BMG Reloaded: Reloaded tropical assault with {{c1::strawberry}}, {{c2::pineapple}}, {{c3::dragon fruit}}, and {{c4::pina colada}}.	Gorilla Warfare - 0.50 BMG Reloaded	Tropical	Advanced	Strawberry, pineapple, dragon fruit, pina colada
Twist - Purple No. 1: Purple perfection combining sweet {{c1::blueberry}} with bright {{c2::lemon}} citrus balance.	Twist - Purple No. 1	Berry	Intermediate	Blueberry and lemon
Silverback - Rocky: Mountain blend featuring sweet {{c1::banana}} with rich {{c2::strawberry ice cream}} and creamy {{c3::milkshake}}.	Silverback - Rocky	Dessert	Advanced	Banana, strawberry ice cream, milkshake
Silverback - Booboo: Gorilla grape mix combining sweet {{c1::grape}} with juicy {{c2::blueberry}} intensity.	Silverback - Booboo	Berry	Intermediate	Grape and blueberry
One Hit - Magic Man: Magical candy featuring sweet {{c1::watermelon}}, chewy {{c2::gummy candy}}, and {{c3::mixed fruit}}.	One Hit - Magic Man	Carnival	Advanced	Watermelon, gummy candy, mixed fruit
Silverback - Lola: Tropical gorilla blend with sweet {{c1::strawberry}}, exotic {{c2::dragonfruit}}, and creamy {{c3::banana}}.	Silverback - Lola	Tropical	Advanced	Strawberry, dragonfruit, banana
Silverback - Jenny: Bubblegum paradise mixing {{c1::watermelon bubblegum}} with fresh {{c2::strawberry}} sweetness.	Silverback - Jenny	Carnival	Intermediate	Watermelon bubblegum and strawberry
Silverback - Sandy: Sandy sweetness featuring {{c1::watermelon bubblegum}} enhanced with juicy {{c2::strawberry}}.	Silverback - Sandy	Carnival	Intermediate	Watermelon bubblegum and strawberry
Silverback - Harambe: Tribute blend with warm {{c1::cinnamon}} spice, rich {{c2::rum}}, and smooth {{c3::cream}} honor.	Silverback - Harambe	Dessert	Advanced	Cinnamon, rum, cream
Silverback - Amy: Gourmet dessert featuring {{c1::vanilla bean}}, rich {{c2::caramel}}, and creamy {{c3::peanut butter}}.	Silverback - Amy	Dessert	Advanced	Vanilla bean, caramel, peanut butter
